'anon,flower,null,fpe
'anonen,flowers,null,anadrel
'bgualyiz,correct,null,viconiadjevik
'bgualyizles,correction,null,viconiadjevik
'che,loved,null,fpe
'chev,beloved,null,fpe
'ranndi,wife,null,XRafael_Dneir
'sohna,again,null,Lolath_Cryso
'udtila,does,null,dara_eve
'zil,as,null,
anulo,sky,null,hob
eldalie,elven,null,HikariKyouki
ul'saruk,warlord,null,nemesis
zze'ill,werewolf,null,ldk2000puppy
a'leai,rare,null,juniper_fire
a'leaiil,rarity,null,juniper_fire
a'ni,general,null,Thanos_Nihil
a'nshal'a,ambassador,null,cyawolf
a'quarth,commission,null,
a'quarthus,commissioned,null,
a'zil,consorts,null,fpe
a,at,null,
a,by,null,
aadk,shout,null,fpe
aadkat,shouting,null,fpe
abban,ally,null,
abbanel,affiliation,null,jvanzanen
abbanen,allies,null,jvanzanen
abbanid,alliance,null,jvanzanen
abbaniden,alliances,null,Julienne_Noquar
abbil'olplynir,borrow,null,blade_x22
abbil,comrad,null,S.Gal
abbil,comrade,null,
abbil,friend,null,
abbil,trusted friend,null,S.Gal
abbilen,friends,null,fpe
abil,trusted friend,null,drizzt
abyl,testicle,null,fpe
acraba,mastery,null,p.aalmans
acti'von,participate,null,gbrain35
aeros,air,null,jvanzanen
afya,health,null,anakin_noquar
aglust,part,null,triel_odran
ahaluthh,glorious,null,fpe
air'oth,air,element,
ajak,remember,null,adrienne
ak'uech,forge,null,fpe
akai'zhar,forsaken,null,Aneluki
akana,ruling,null,fpe
akezhar,nemisis,null,fpe
akh,band,null,S.Gal
akh,group,null,
al'doer,welcome,null,fpe
al'sanbone,alertness,null,some1
al'vur,cow,null,thelvn
al,well,null,
alantha,midnight,null,anadrel
aliss,invite,null,tina_w_ilharess
alissem,invitation,null,tina_w_ilharess
alkar,forfeit,null,dsharp
alot dos,walking corpse,null,gollum
alti'ui,wing,null,vmalekithv
alu,go,null,
aluin,going,null,
alur,better,null,darrant_rod
alur,superior,null,
alurl,best,null,
alus,gone,null,
alus,went,null,
alust,facing,null,
alust,front,null,Rogue_Blackstar
alust,infront,null,
aluve',i leave you,null,Rogue_Blackstar
aluve',farewell,null,Rogue_Blackstar
aluve',farewell,null,Rogue_Blackstar
aluve,farewell,null,Rogue_Blackstar
amankil,clergy,null,kaskus
an'ar,dancer,null,fpe
an'kin,teacher,null,greengumby15
an'yui,answer,null,landonpad1
an'yuil,answers,null,galenf
andon,clock,null,zzaknifien
angzuess,harrower,null,fpe
angzuessai,harrowers,null,fpe
ann'ish,appear,null,fpe
anth,ring,null,shadrack-elfe-noire
anulon,skies,null,Julienne_Noquar
anzzar,sigil,null,fpe
anzzarrim,sigils,null,fpe
ap'za,fate,null,CrystalineFyre
ap'zen,luck,null,CrystalineFyre
areion,through,null,reiforce18
arisa,stalker,null,SailorJupitor64
arlathil,nature,null,evilgod
arlyurl,breast,null,zero_abyss
arlyurlen,breasts,null,zero_abyss
arshes,thunder,null,blacwolfe
asanque,as you wish,null,
asanque,likewise,null,fpe
asanquel,as you wish,null,fpe
aske'th,asked,null,hoxu84
aslu,got,null,fpe
asse,eagle,null,fpe
aster,truth,null,SarenTA
astu,undone,null,fpe
astunin,undoing,null,fpe
astux,undo,null,fpe
atat,rib,null,fpe
atatal,ribs,null,fpe
aterruce,creature,null,LexiLordison
